j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.000496147,-0.000226466,-7.53708e-16
1,-2.93891,-0.000496179,-0.000216275,-0.000100564
2,-2.73623,-0.000495378,-0.000185701,-0.00020105
3,-2.53354,-0.000509733,-0.000134776,-0.00030291
4,-2.33086,-0.000355854,-6.29111e-05,-0.00039063
5,-2.12818,-0.000992251,2.35724e-05,-0.000527249
6,-1.92549,-0.00279958,0.000150818,-0.000911519
7,-1.72281,0.00245121,0.000393072,-0.000946823
8,-1.52013,0.010016,0.000534629,0.000316629
9,-1.31744,-0.00175558,0.000264721,0.00115376
10,-1.11476,-0.00272923,6.69336e-05,0.000699259
11,-0.912075,-6.58352e-05,-1.87354e-05,0.000416002
12,-0.709392,-0.00053298,-0.0001017,0.000355317
13,-0.506708,-0.000494207,-0.000162769,0.00025122
14,-0.304025,-0.000496221,-0.000203536,0.000150849
15,-0.101342,-0.000496147,-0.000223918,5.02804e-05
16,0.101342,-0.000496147,-0.000223918,-5.02804e-05
17,0.304025,-0.000496221,-0.000203536,-0.000150849
18,0.506708,-0.000494207,-0.000162769,-0.00025122
19,0.709392,-0.00053298,-0.0001017,-0.000355317
20,0.912075,-6.58352e-05,-1.87354e-05,-0.000416002
21,1.11476,-0.00272923,6.69336e-05,-0.000699259
22,1.31744,-0.00175558,0.000264721,-0.00115376
23,1.52013,0.010016,0.000534629,-0.000316629
24,1.72281,0.00245121,0.000393072,0.000946823
25,1.92549,-0.00279958,0.000150818,0.000911519
26,2.12818,-0.000992251,2.35724e-05,0.000527249
27,2.33086,-0.000355854,-6.29111e-05,0.00039063
28,2.53354,-0.000509733,-0.000134776,0.00030291
29,2.73623,-0.000495378,-0.000185701,0.00020105
30,2.93891,-0.000496179,-0.000216275,0.000100564
31,3.14159,-0.000496147,-0.000226466,-7.53708e-16
