j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.0560131,-0.104759,-3.76587e-16
1,-2.93891,-0.0498539,-0.103609,-0.0107287
2,-2.73623,-0.121363,-0.10041,-0.0280802
3,-2.53354,-0.209964,-0.0922258,-0.0616574
4,-2.33086,-0.0866133,-0.0754161,-0.0917131
5,-2.12818,-0.00358022,-0.0550483,-0.100853
6,-1.92549,-0.00733894,-0.0345335,-0.10196
7,-1.72281,0.00377005,-0.0137171,-0.102322
8,-1.52013,0.0066401,0.00694433,-0.101267
9,-1.31744,0.00850293,0.027333,-0.0997321
10,-1.11476,0.0228596,0.0473724,-0.0965538
11,-0.912075,0.0466172,0.0664727,-0.0895129
12,-0.709392,0.150503,0.0836579,-0.0695363
13,-0.506708,0.136431,0.0946604,-0.040458
14,-0.304025,0.087443,0.100058,-0.0177702
15,-0.101342,0.0439534,0.101864,-0.00445431
16,0.101342,0.0439534,0.101864,0.00445431
17,0.304025,0.087443,0.100058,0.0177702
18,0.506708,0.136431,0.0946604,0.040458
19,0.709392,0.150503,0.0836579,0.0695363
20,0.912075,0.0466172,0.0664727,0.0895129
21,1.11476,0.0228596,0.0473724,0.0965538
22,1.31744,0.00850293,0.027333,0.0997321
23,1.52013,0.0066401,0.00694433,0.101267
24,1.72281,0.00377005,-0.0137171,0.102322
25,1.92549,-0.00733894,-0.0345335,0.10196
26,2.12818,-0.00358022,-0.0550483,0.100853
27,2.33086,-0.0866133,-0.0754161,0.0917131
28,2.53354,-0.209964,-0.0922258,0.0616574
29,2.73623,-0.121363,-0.10041,0.0280802
30,2.93891,-0.0498539,-0.103609,0.0107287
31,3.14159,-0.0560131,-0.104759,-3.76587e-16
