j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.00105391,-0.000449418,-4.65116e-16
1,-2.93891,-0.00105393,-0.000427771,-0.000213613
2,-2.73623,-0.0010535,-0.000362827,-0.000427183
3,-2.53354,-0.00106252,-0.000254605,-0.000641624
4,-2.33086,-0.000946573,-0.000102734,-0.000845229
5,-2.12818,-0.00158098,8.80229e-05,-0.00110138
6,-1.92549,-0.00263279,0.000343727,-0.00152841
7,-1.72281,0.00449182,0.000707588,-0.00134001
8,-1.52013,0.0131204,0.000886923,0.000444847
9,-1.31744,-0.00064424,0.000527262,0.00170921
10,-1.11476,-0.00313868,0.000194068,0.00132584
11,-0.912075,-0.000734433,-1.01885e-05,0.000933331
12,-0.709392,-0.00107691,-0.000184274,0.000749766
13,-0.506708,-0.00105288,-0.000314119,0.00053393
14,-0.304025,-0.00105395,-0.000400711,0.00032042
15,-0.101342,-0.00105391,-0.000444006,0.000106806
16,0.101342,-0.00105391,-0.000444006,-0.000106806
17,0.304025,-0.00105395,-0.000400711,-0.00032042
18,0.506708,-0.00105288,-0.000314119,-0.00053393
19,0.709392,-0.00107691,-0.000184274,-0.000749766
20,0.912075,-0.000734433,-1.01885e-05,-0.000933331
21,1.11476,-0.00313868,0.000194068,-0.00132584
22,1.31744,-0.00064424,0.000527262,-0.00170921
23,1.52013,0.0131204,0.000886923,-0.000444847
24,1.72281,0.00449182,0.000707588,0.00134001
25,1.92549,-0.00263279,0.000343727,0.00152841
26,2.12818,-0.00158098,8.80229e-05,0.00110138
27,2.33086,-0.000946573,-0.000102734,0.000845229
28,2.53354,-0.00106252,-0.000254605,0.000641624
29,2.73623,-0.0010535,-0.000362827,0.000427183
30,2.93891,-0.00105393,-0.000427771,0.000213613
31,3.14159,-0.00105391,-0.000449418,-4.65116e-16
