j,x_j,rho_j,phi_j,E_j
0,-3.14159,-0.135249,-0.129988,-0
1,-2.93891,-0.127209,-0.12721,-0.026598
2,-2.73623,-0.139212,-0.119206,-0.0535976
3,-2.53354,-0.114754,-0.105483,-0.079335
4,-2.33086,-0.0707118,-0.0870463,-0.0981305
5,-2.12818,-0.0575673,-0.0657044,-0.11113
6,-1.92549,-0.0353407,-0.0419976,-0.120546
7,-1.72281,-0.0111856,-0.0168391,-0.125261
8,-1.52013,0.0128928,0.008779,-0.125088
9,-1.31744,0.0367635,0.0338674,-0.120056
10,-1.11476,0.0590678,0.0574456,-0.110344
11,-0.912075,0.0785395,0.0785972,-0.0963987
12,-0.709392,0.0946123,0.0965224,-0.0788512
13,-0.506708,0.106945,0.110561,-0.058425
14,-0.304025,0.115289,0.120206,-0.0359034
15,-0.101342,0.119496,0.125115,-0.0121099
16,0.101342,0.119496,0.125115,0.0121099
17,0.304025,0.115289,0.120206,0.0359034
18,0.506708,0.106945,0.110561,0.058425
19,0.709392,0.0946123,0.0965224,0.0788512
20,0.912075,0.0785395,0.0785972,0.0963987
21,1.11476,0.0590678,0.0574456,0.110344
22,1.31744,0.0367635,0.0338674,0.120056
23,1.52013,0.0128928,0.008779,0.125088
24,1.72281,-0.0111856,-0.0168391,0.125261
25,1.92549,-0.0353407,-0.0419976,0.120546
26,2.12818,-0.0575673,-0.0657044,0.11113
27,2.33086,-0.0707118,-0.0870463,0.0981305
28,2.53354,-0.114754,-0.105483,0.079335
29,2.73623,-0.139212,-0.119206,0.0535976
30,2.93891,-0.127209,-0.12721,0.026598
31,3.14159,-0.135249,-0.129988,-0
