j,x_j,rho_j,phi_j,E_j
0,-3.14159,-5.93585e-05,-5.06082e-05,-1.81033e-15
1,-2.93891,-5.94131e-05,-4.9389e-05,-1.20365e-05
2,-2.73623,-5.81901e-05,-4.5729e-05,-2.39546e-05
3,-2.53354,-7.77678e-05,-3.96786e-05,-3.77328e-05
4,-2.33086,0.00010641,-3.04334e-05,-3.48302e-05
5,-2.12818,-0.000500251,-2.55596e-05,-7.47427e-05
6,-1.92549,-0.00284308,-1.35203e-07,-0.000413561
7,-1.72281,0.000825026,0.000142084,-0.000618074
8,-1.52013,0.0073374,0.000250411,0.000209121
9,-1.31744,-0.00254213,5.73137e-05,0.000695082
10,-1.11476,-0.00233553,-3.13519e-05,0.000200772
11,-0.912075,0.000462283,-2.40726e-05,1.0934e-05
12,-0.709392,-0.000109855,-3.57842e-05,4.66496e-05
13,-0.506708,-5.63897e-05,-4.29828e-05,2.9802e-05
14,-0.304025,-5.94845e-05,-4.7865e-05,1.80592e-05
15,-0.101342,-5.93581e-05,-5.03034e-05,6.01545e-06
16,0.101342,-5.93581e-05,-5.03034e-05,-6.01545e-06
17,0.304025,-5.94845e-05,-4.7865e-05,-1.80592e-05
18,0.506708,-5.63897e-05,-4.29828e-05,-2.9802e-05
19,0.709392,-0.000109855,-3.57842e-05,-4.66496e-05
20,0.912075,0.000462283,-2.40726e-05,-1.0934e-05
21,1.11476,-0.00233553,-3.13519e-05,-0.000200772
22,1.31744,-0.00254213,5.73137e-05,-0.000695082
23,1.52013,0.0073374,0.000250411,-0.000209121
24,1.72281,0.000825026,0.000142084,0.000618074
25,1.92549,-0.00284308,-1.35203e-07,0.000413561
26,2.12818,-0.000500251,-2.55596e-05,7.47427e-05
27,2.33086,0.00010641,-3.04334e-05,3.48302e-05
28,2.53354,-7.77678e-05,-3.96786e-05,3.77328e-05
29,2.73623,-5.81901e-05,-4.5729e-05,2.39546e-05
30,2.93891,-5.94131e-05,-4.9389e-05,1.20365e-05
31,3.14159,-5.93585e-05,-5.06082e-05,-1.81033e-15
